DateTime,Open,High,Low,Close,Volume
1/1/2020 0:00,0.0014239,0.001426,0.001423,0.0014248,770900
1/1/2020 0:01,0.0014242,0.0014263,0.0014239,0.0014239,1202000
1/1/2020 0:02,0.0014233,0.0014262,0.0014227,0.0014242,244500
1/1/2020 0:03,0.0014226,0.0014239,0.0014226,0.0014233,79600
1/1/2020 0:04,0.0014217,0.0014226,0.0014216,0.0014226,66900
1/1/2020 0:05,0.0014226,0.0014251,0.0014205,0.0014217,593600
1/1/2020 0:06,0.0014218,0.001425,0.0014218,0.0014226,856400
1/1/2020 0:07,0.0014217,0.001422,0.0014211,0.0014218,40100
1/1/2020 0:08,0.0014233,0.0014233,0.0014202,0.0014217,1533000
1/1/2020 0:09,0.0014228,0.0014241,0.0014228,0.0014233,131200
1/1/2020 0:10,0.001423,0.001423,0.0014228,0.0014228,1000
1/1/2020 0:11,0.0014234,0.0014238,0.0014228,0.001423,73100
1/1/2020 0:12,0.0014233,0.0014243,0.0014228,0.0014234,453900
1/1/2020 0:13,0.0014286,0.0014287,0.0014233,0.0014233,2199600
1/1/2020 0:14,0.0014305,0.0014305,0.0014286,0.0014286,180800
1/1/2020 0:15,0.0014283,0.0014305,0.001428,0.0014305,269700
1/1/2020 0:16,0.0014295,0.0014297,0.0014283,0.0014283,280100
1/1/2020 0:17,0.0014294,0.0014295,0.0014294,0.0014295,25000
1/1/2020 0:18,0.0014329,0.0014329,0.0014294,0.0014294,134900
1/1/2020 0:19,0.0014319,0.0014329,0.0014318,0.0014329,58500
1/1/2020 0:20,0.0014318,0.0014321,0.0014318,0.0014319,133000
1/1/2020 0:21,0.0014329,0.0014329,0.0014318,0.0014318,18400
1/1/2020 0:22,0.0014326,0.0014329,0.0014326,0.0014329,14300
1/1/2020 0:23,0.0014287,0.0014326,0.0014287,0.0014326,148200
1/1/2020 0:24,0.0014287,0.0014287,0.0014287,0.0014287,0
1/1/2020 0:25,0.0014301,0.0014301,0.0014287,0.0014287,74100
1/1/2020 0:26,0.0014296,0.0014301,0.0014294,0.0014301,35600
1/1/2020 0:27,0.001431,0.001431,0.0014283,0.0014296,255200
1/1/2020 0:28,0.0014317,0.0014317,0.0014296,0.001431,281100
1/1/2020 0:29,0.0014322,0.0014328,0.0014311,0.0014317,211800
1/1/2020 0:30,0.0014324,0.0014332,0.0014322,0.0014322,226700
1/1/2020 0:31,0.001433,0.0014333,0.0014323,0.0014324,59200
1/1/2020 0:32,0.0014334,0.0014334,0.0014328,0.001433,72300
1/1/2020 0:33,0.0014307,0.001436,0.0014307,0.0014334,878600
1/1/2020 0:34,0.0014328,0.0014328,0.0014303,0.0014307,205500
1/1/2020 0:35,0.0014327,0.0014328,0.001431,0.0014328,260800
1/1/2020 0:36,0.0014329,0.001434,0.0014321,0.0014327,427400
1/1/2020 0:37,0.0014313,0.001433,0.0014311,0.0014329,212800
1/1/2020 0:38,0.0014324,0.0014324,0.0014309,0.0014313,1832400
1/1/2020 0:39,0.0014327,0.0014327,0.0014315,0.0014324,218400
1/1/2020 0:40,0.0014321,0.0014327,0.0014321,0.0014327,81900
1/1/2020 0:41,0.0014329,0.0014329,0.0014316,0.0014321,70000
1/1/2020 0:42,0.001434,0.001434,0.0014329,0.0014329,68300
1/1/2020 0:43,0.0014333,0.001436,0.0014326,0.001434,1015300
1/1/2020 0:44,0.0014333,0.0014343,0.0014333,0.0014333,39900
1/1/2020 0:45,0.0014319,0.0014333,0.0014317,0.0014333,131800
1/1/2020 0:46,0.0014327,0.0014327,0.0014315,0.0014319,121600
1/1/2020 0:47,0.0014345,0.001435,0.0014327,0.0014327,217300
1/1/2020 0:48,0.0014326,0.0014345,0.0014326,0.0014345,112500
1/1/2020 0:49,0.0014316,0.0014326,0.0014316,0.0014326,13300
1/1/2020 0:50,0.0014293,0.0014339,0.0014281,0.0014316,1353000
1/1/2020 0:51,0.0014297,0.001431,0.0014287,0.0014293,132900
1/1/2020 0:52,0.0014292,0.0014297,0.0014287,0.0014297,35700
1/1/2020 0:53,0.0014297,0.0014297,0.0014283,0.0014292,304400
1/1/2020 0:54,0.0014285,0.001431,0.0014285,0.0014297,251000
1/1/2020 0:55,0.0014282,0.0014292,0.0014277,0.0014285,152200
1/1/2020 0:56,0.0014297,0.0014297,0.001428,0.0014282,188100
1/1/2020 0:57,0.0014308,0.0014308,0.0014277,0.0014297,511000
1/1/2020 0:58,0.0014314,0.001432,0.0014308,0.0014308,25600
1/1/2020 0:59,0.0014307,0.0014314,0.0014299,0.0014314,177900
1/1/2020 1:00,0.0014305,0.0014307,0.0014305,0.0014307,56300
1/1/2020 1:01,0.0014309,0.0014313,0.0014305,0.0014305,70400
1/1/2020 1:02,0.001435,0.001435,0.0014305,0.0014309,496100
1/1/2020 1:03,0.0014325,0.001435,0.0014325,0.001435,895200
1/1/2020 1:04,0.0014323,0.0014338,0.0014323,0.0014325,260300
1/1/2020 1:05,0.0014335,0.001434,0.0014322,0.0014323,80500
1/1/2020 1:06,0.0014327,0.0014335,0.001432,0.0014335,270800
1/1/2020 1:07,0.001431,0.0014328,0.0014308,0.0014327,441600
1/1/2020 1:08,0.0014303,0.0014318,0.0014301,0.001431,320100
1/1/2020 1:09,0.0014262,0.0014328,0.0014262,0.0014303,1544200
1/1/2020 1:10,0.001425,0.0014263,0.001425,0.0014262,92800
1/1/2020 1:11,0.0014257,0.0014258,0.001425,0.001425,32000
1/1/2020 1:12,0.0014245,0.0014257,0.0014237,0.0014257,134700
1/1/2020 1:13,0.0014269,0.0014276,0.0014242,0.0014245,188700
1/1/2020 1:14,0.0014256,0.0014269,0.0014255,0.0014269,53000
1/1/2020 1:15,0.0014265,0.0014272,0.0014256,0.0014256,234600
1/1/2020 1:16,0.0014259,0.0014265,0.0014258,0.0014265,71200
1/1/2020 1:17,0.0014244,0.0014259,0.0014244,0.0014259,31700
1/1/2020 1:18,0.0014234,0.0014249,0.0014213,0.0014244,934100
1/1/2020 1:19,0.0014235,0.0014235,0.0014231,0.0014234,25000
1/1/2020 1:20,0.0014211,0.0014235,0.0014211,0.0014235,87900
1/1/2020 1:21,0.0014221,0.0014221,0.0014211,0.0014211,3200
1/1/2020 1:22,0.0014222,0.0014222,0.001421,0.0014221,16800
1/1/2020 1:23,0.00142,0.0014222,0.0014194,0.0014222,616200
1/1/2020 1:24,0.0014196,0.00142,0.0014189,0.00142,530500
